Booking #,Sex,Race,Age,Book Date,,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,,
2025-00048,M,W,47,1/7/2025  9:47:00 PM,,1/8/2025  9:26:00 AM,1.00,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00049,M,W,31,1/8/2025  12:15:00 AM,,2/10/2025  4:18:00 PM,33.67,065,HOSPITAL/TREATMENT,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,HIT6603M1,HIT-DAMAGE TO ATTENDED PROPERTY-DRIVER FAILS TOREPORT<1000,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,JUS4810M1,JUS - FALSELY IDENTIFY SELF TO LAW ENFORCEMENT,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,JUS4828M1,"JUS-RESISTING ARREST,OBSTRUCTING JUSTICE BY THREATS/FORCE",,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,TEL3197F6,TEL-POSSESSION OF CELLULAR PHONE BY PRISONER,,
2025-00055,M,W,54,1/8/2025  8:01:00 AM,,3/17/2025  8:14:00 PM,68.51,079,JUDGE,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00055,M,W,54,1/8/2025  8:01:00 AM,,3/17/2025  8:14:00 PM,68.51,079,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00055,M,W,54,1/8/2025  8:01:00 AM,,3/17/2025  8:14:00 PM,68.51,079,JUDGE,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-00055,M,W,54,1/8/2025  8:01:00 AM,,3/17/2025  8:14:00 PM,68.51,079,JUDGE,RAP1129F9,SEXUAL ASSAULT INTERCOURSE WITH VICTIM BY FORCE - THREAT OR INTIMIDATION,,
2025-00055,M,W,54,1/8/2025  8:01:00 AM,,3/17/2025  8:14:00 PM,68.51,079,JUDGE,WPN5298F6,WEAPONS CONVICTED FELON POSSESS CONCEALED WEAPON (OTHER THAN FIREARM),,
2025-00051,F,B,28,1/8/2025  11:08:00 AM,,2/25/2025  12:48:00 PM,48.07,065,JUDGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00051,F,B,28,1/8/2025  11:08:00 AM,,2/25/2025  12:48:00 PM,48.07,065,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00051,F,B,28,1/8/2025  11:08:00 AM,,2/25/2025  12:48:00 PM,48.07,065,JUDGE,PRI3261F5,PRISONERS POSSESS - SELL - SECRETE SCH. III DRUG OR MARIJUANA,,
2025-00053,M,W,31,1/8/2025  11:13:00 AM,,1/8/2025  12:40:00 PM,1.00,179,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00054,F,W,62,1/8/2025  12:42:00 PM,,5/15/2025  8:00:00 AM,126.80,113,SENTENCE SERVED,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00054,F,W,62,1/8/2025  12:42:00 PM,,5/15/2025  8:00:00 AM,126.80,113,SENTENCE SERVED,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00054,F,W,62,1/8/2025  12:42:00 PM,,5/15/2025  8:00:00 AM,126.80,113,SENTENCE SERVED,ASL1356F6,"ASL-DISARM LAW ENFOR/CORRECTIONAL OFFICER OF FRIEARM, STUN-GUN",,
2025-00054,F,W,62,1/8/2025  12:42:00 PM,,5/15/2025  8:00:00 AM,126.80,113,SENTENCE SERVED,DIS5311M1,DISORDERLY  CONDUCT DISORDERLY CONDUCT,,
2025-00054,F,W,62,1/8/2025  12:42:00 PM,,5/15/2025  8:00:00 AM,126.80,113,SENTENCE SERVED,JUS4828M1,"JUS-RESISTING ARREST,OBSTRUCTING JUSTICE BY THREATS/FORCE",,
2025-00056,F,W,36,1/8/2025  2:12:00 PM,,2/4/2025  7:26:00 PM,27.22,047,SENTENCE SERVED,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-00056,F,W,36,1/8/2025  2:12:00 PM,,2/4/2025  7:26:00 PM,27.22,047,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00057,M,B,43,1/8/2025  2:12:00 PM,,1/22/2025  6:20:00 PM,14.17,113,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00058,F,W,31,1/8/2025  3:15:00 PM,,1/14/2025  3:24:00 PM,6.01,109,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00059,M,W,36,1/9/2025  8:00:00 AM,,4/9/2025  8:00:00 AM,90.00,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00059,M,W,36,1/9/2025  8:00:00 AM,,4/9/2025  8:00:00 AM,90.00,137,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00060,M,B,54,1/9/2025  8:10:00 AM,,1/10/2025  1:12:00 PM,1.21,137,DISMISSED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00061,M,W,43,1/9/2025  11:25:00 AM,,5/16/2025  1:57:00 PM,127.11,079,STATUS CHANGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00062,M,W,33,1/9/2025  12:44:00 PM,,5/10/2025  8:00:00 AM,120.80,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00063,M,W,27,1/9/2025  2:41:00 PM,,1/14/2025  6:27:00 PM,5.16,109,BOND,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00063,M,W,27,1/9/2025  2:41:00 PM,,1/14/2025  6:27:00 PM,5.16,109,BOND,JUS4828M1,"JUS-RESISTING ARREST,OBSTRUCTING JUSTICE BY THREATS/FORCE",,
2025-00064,M,W,19,1/9/2025  5:25:00 PM,,1/9/2025  10:00:00 PM,1.00,109,BOND,LAR2354F9,"SHOPLIFT, ALTER PRICE TAGS>=$1000",,
2025-00064,M,W,19,1/9/2025  5:25:00 PM,,1/9/2025  10:00:00 PM,1.00,109,BOND,LAR2359F9,LARCENY $1000 OR MORE NOT FROM PERSON,,
2025-00064,M,W,19,1/9/2025  5:25:00 PM,,1/9/2025  10:00:00 PM,1.00,109,BOND,LAR2708M1,LARCENY EMBEZZLEMENT - LESS THAN $1000,,
2025-00065,M,W,24,1/9/2025  5:25:00 PM,,3/6/2025  8:00:00 AM,55.61,109,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00066,M,W,37,1/9/2025  8:45:00 PM,,3/26/2025  3:24:00 PM,75.78,079,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00067,F,W,33,1/9/2025  9:48:00 PM,,1/10/2025  2:30:00 AM,1.00,099,BOND,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-00067,F,W,33,1/9/2025  9:48:00 PM,,1/10/2025  2:30:00 AM,1.00,099,BOND,HIT6604F5,HIT-DAMAGE TO ATTENDED PROPERTY-DRIVER FAILS TO REPORT$1000,,
2025-00067,F,W,33,1/9/2025  9:48:00 PM,,1/10/2025  2:30:00 AM,1.00,099,BOND,LAR2412F6,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH $1000 OR MORE",,
